dates_only;is_holiday
17/10/2020;1
18/10/2020;1
19/10/2020;1
20/10/2020;1
21/10/2020;1
22/10/2020;1
23/10/2020;1
24/10/2020;1
25/10/2020;1
26/10/2020;1
27/10/2020;1
28/10/2020;1
29/10/2020;1
30/10/2020;1
31/10/2020;1
01/11/2020;1
19/12/2020;1
20/12/2020;1
21/12/2020;1
22/12/2020;1
23/12/2020;1
24/12/2020;1
25/12/2020;1
26/12/2020;1
27/12/2020;1
28/12/2020;1
29/12/2020;1
30/12/2020;1
31/12/2020;1
01/01/2021;1
02/01/2021;1
03/01/2021;1
13/02/2021;1
14/02/2021;1
15/02/2021;1
16/02/2021;1
17/02/2021;1
18/02/2021;1
19/02/2021;1
20/02/2021;1
21/02/2021;1
22/02/2021;1
23/02/2021;1
24/02/2021;1
25/02/2021;1
26/02/2021;1
27/02/2021;1
28/02/2021;1
